1,Algoritmos y Estructuras de Datos
2,Programacion Orientada a Objetos
3,Base de Datos
4,Redes de Computadoras
5,Ingeniería de Software
6,Arquitectura de Computadoras
7,Programacion en C
8,Programacion en Java
9,Programacion en Python
10,Programacion en Ruby
11,Programacion en JavaScript
12,Programacion en PHP
13,Programacion en C++
14,Programacion en Swift
15,Programacion en Kotlin
16,Programacion en Go
17,Programacion en Rust
18,Programacion en TypeScript
19,Programacion en Dart
20,Algoritmos
21,Programacion en Lua
22,Programacion en R
23,Programacion en Julia
24,Programacion en Haskell
25,Programacion en Prolog
26,Programacion en Lisp
27,Programacion en Clojure
28,Programacion en Erlang
29,Programacion en F#
30,Programacion en OCaml
31,Programacion en Smalltalk
32,Programacion en Tcl
33,Programacion en Perl
34,Programacion en Bash
35,Programacion en PowerShell
36,Programacion en SQL
37,Programacion en PL/SQL
38,Programacion en T-SQL
39,Programacion en NoSQL
40,Programacion en GraphQL
